호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
1호선,동대문역,5,0,0,"[10, 9, 11, 14, 15, 11, 9, 11, 17, 18]",2
1호선,동대문역,5,0,1,"[14, 10, 9, 14, 15, 11, 12, 10, 16, 17]",3
1호선,동대문역,5,1,0,"[44, 39, 37, 36, 37, 32, 27, 23, 22, 19]",10
1호선,동대문역,5,1,1,"[21, 22, 18, 15, 20, 16, 12, 10, 8, 10]",9
1호선,동대문역,6,0,0,"[10, 9, 11, 14, 15, 11, 9, 11, 17, 18]",2
1호선,동대문역,6,0,1,"[14, 10, 9, 14, 15, 11, 12, 10, 16, 17]",3
1호선,동대문역,6,1,0,"[44, 39, 37, 36, 37, 32, 27, 23, 22, 19]",10
1호선,동대문역,6,1,1,"[21, 22, 18, 15, 20, 16, 12, 10, 8, 10]",9
1호선,동대문역,7,0,0,"[16, 14, 17, 22, 21, 20, 17, 19, 22, 24]",2
1호선,동대문역,7,0,1,"[9, 7, 8, 12, 14, 13, 9, 8, 13, 15]",2
1호선,동대문역,7,1,0,"[103, 83, 83, 90, 82, 75, 65, 56, 55, 49]",10
1호선,동대문역,7,1,1,"[26, 25, 27, 23, 24, 21, 13, 15, 14, 10]",10
1호선,동대문역,8,0,0,"[19, 20, 26, 30, 34, 32, 27, 26, 35, 38]",1
1호선,동대문역,8,0,1,"[12, 13, 15, 19, 23, 16, 17, 14, 18, 20]",1
1호선,동대문역,8,1,0,"[130, 110, 107, 106, 104, 91, 79, 80, 71, 65]",10
1호선,동대문역,8,1,1,"[41, 36, 37, 36, 39, 30, 21, 20, 18, 13]",10
1호선,동대문역,9,0,0,"[17, 17, 21, 27, 33, 25, 22, 26, 34, 33]",1
1호선,동대문역,9,0,1,"[17, 17, 20, 33, 28, 27, 19, 21, 27, 28]",1
1호선,동대문역,9,1,0,"[69, 75, 63, 63, 53, 49, 46, 34, 38, 36]",8
1호선,동대문역,9,1,1,"[47, 47, 45, 51, 40, 39, 30, 22, 23, 22]",8
1호선,동대문역,10,0,0,"[19, 18, 24, 30, 36, 27, 25, 27, 34, 34]",2
1호선,동대문역,10,0,1,"[17, 21, 26, 36, 38, 32, 27, 24, 36, 28]",1
1호선,동대문역,10,1,0,"[40, 45, 44, 43, 42, 35, 31, 22, 28, 19]",10
1호선,동대문역,10,1,1,"[50, 52, 52, 49, 50, 49, 37, 27, 26, 21]",10
1호선,동대문역,11,0,0,"[18, 20, 25, 30, 36, 29, 27, 26, 32, 32]",1
1호선,동대문역,11,0,1,"[22, 26, 30, 38, 41, 34, 31, 31, 29, 36]",1
1호선,동대문역,11,1,0,"[40, 41, 39, 39, 37, 33, 28, 22, 19, 19]",9
1호선,동대문역,11,1,1,"[58, 64, 61, 60, 54, 47, 45, 30, 30, 28]",10
1호선,동대문역,12,0,0,"[20, 20, 25, 34, 38, 31, 30, 31, 35, 33]",1
1호선,동대문역,12,0,1,"[23, 26, 32, 40, 45, 40, 35, 28, 35, 35]",1
1호선,동대문역,12,1,0,"[42, 44, 40, 40, 39, 40, 29, 25, 19, 18]",10
1호선,동대문역,12,1,1,"[55, 59, 53, 54, 57, 49, 46, 30, 30, 26]",10
1호선,동대문역,13,0,0,"[23, 24, 25, 36, 41, 38, 32, 29, 38, 35]",1
1호선,동대문역,13,0,1,"[28, 24, 34, 45, 51, 43, 37, 32, 41, 39]",2
1호선,동대문역,13,1,0,"[39, 43, 38, 39, 37, 39, 27, 21, 20, 18]",10
1호선,동대문역,13,1,1,"[51, 58, 58, 51, 49, 55, 40, 33, 28, 21]",10
1호선,동대문역,14,0,0,"[23, 23, 27, 31, 34, 34, 30, 31, 35, 38]",1
1호선,동대문역,14,0,1,"[26, 27, 34, 48, 50, 44, 42, 35, 41, 42]",1
1호선,동대문역,14,1,0,"[34, 34, 33, 36, 33, 32, 26, 21, 18, 14]",10
1호선,동대문역,14,1,1,"[57, 55, 60, 52, 56, 49, 47, 33, 30, 23]",10
1호선,동대문역,15,0,0,"[31, 26, 29, 36, 37, 35, 37, 33, 42, 48]",2
1호선,동대문역,15,0,1,"[31, 27, 37, 39, 47, 45, 41, 38, 47, 44]",2
1호선,동대문역,15,1,0,"[42, 44, 39, 43, 42, 39, 33, 23, 19, 18]",10
1호선,동대문역,15,1,1,"[52, 55, 52, 51, 55, 51, 45, 34, 32, 23]",10
1호선,동대문역,16,0,0,"[34, 28, 29, 41, 40, 36, 42, 38, 48, 50]",2
1호선,동대문역,16,0,1,"[30, 33, 38, 42, 46, 41, 47, 44, 49, 52]",1
1호선,동대문역,16,1,0,"[37, 40, 35, 34, 36, 39, 29, 20, 17, 16]",10
1호선,동대문역,16,1,1,"[45, 48, 44, 43, 47, 48, 36, 27, 25, 18]",10
1호선,동대문역,17,0,0,"[46, 44, 47, 53, 50, 55, 54, 55, 66, 70]",2
1호선,동대문역,17,0,1,"[28, 28, 35, 37, 41, 38, 44, 40, 44, 45]",1
1호선,동대문역,17,1,0,"[41, 44, 37, 43, 35, 40, 34, 26, 18, 18]",9
1호선,동대문역,17,1,1,"[40, 42, 41, 42, 41, 45, 33, 24, 20, 17]",10
1호선,동대문역,18,0,0,"[84, 80, 83, 82, 79, 85, 97, 98, 106, 115]",5
1호선,동대문역,18,0,1,"[25, 24, 25, 35, 33, 38, 35, 35, 42, 45]",2
1호선,동대문역,18,1,0,"[37, 37, 35, 33, 37, 36, 31, 22, 17, 19]",9
1호선,동대문역,18,1,1,"[31, 29, 32, 24, 30, 32, 23, 21, 16, 15]",10
1호선,동대문역,19,0,0,"[39, 37, 41, 45, 43, 46, 46, 49, 56, 61]",2
1호선,동대문역,19,0,1,"[25, 19, 23, 28, 29, 27, 33, 33, 36, 38]",2
1호선,동대문역,19,1,0,"[22, 18, 18, 17, 18, 19, 14, 11, 8, 10]",9
1호선,동대문역,19,1,1,"[21, 22, 18, 20, 25, 23, 16, 11, 12, 12]",8
1호선,동대문역,20,0,0,"[31, 31, 30, 35, 38, 36, 40, 37, 49, 55]",3
1호선,동대문역,20,0,1,"[20, 22, 24, 27, 30, 36, 32, 30, 38, 43]",1
1호선,동대문역,20,1,0,"[17, 15, 14, 15, 15, 14, 13, 10, 8, 9]",9
1호선,동대문역,20,1,1,"[17, 15, 15, 16, 15, 15, 11, 11, 10, 10]",9
1호선,동대문역,21,0,0,"[34, 26, 29, 33, 32, 33, 34, 41, 48, 51]",2
1호선,동대문역,21,0,1,"[22, 20, 22, 25, 26, 36, 33, 33, 35, 42]",2
